"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"R8";"R_0805_2012Metric";1;"1 MΩ";;;
2;"R1";"R_0805_2012Metric";1;"2.4 kΩ";;;
3;"R3";"R_0805_2012Metric";1;"2.2";;;
4;"C1";"C_0805_2012Metric";1;"100 nF";;;
5;"D4,D3,D5,D1,D2";"D_SMA";5;"SS34";;;
6;"U1";"TSOT-23-6";1;"TP4057";;;
7;"C4,C6,C7";"C_0805_2012Metric";3;"10μF";;;
8;"C3,C2";"C_0805_2012Metric";2;"22μF";;;
9;"R6";"R_0805_2012Metric";1;"22 kΩ";;;
10;"J2";"USB_A_Molex_67643_Horizontal";1;"USB_A";;;
11;"R7";"R_0805_2012Metric";1;"3 kΩ";;;
12;"R4,R5";"R_0805_2012Metric";2;"5.1 k";;;
13;"L1";"L_7.3x7.3_H4.5";1;"22μH";;;
14;"BT1";"Bez_nazwy_1";1;"Battery_Cell";;;
15;"U3";"SOT-23-6";1;"DW01A";;;
16;"C5";"C_0805_2012Metric";1;"1 nF";;;
17;"U2";"SOT-23-6";1;"MT3608";;;
18;"Q1";"SOT-23-6L_TCP";1;"FS8205A";;;
19;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_PowerOnly_6P";;;
